task,hash,cost,points,n_nodes,status,ops,dsl_rule
376,eb281b96,186,19.774253326286797,6,baseline,Gather:2;Slice:1;ReduceSum:1;Cast:1;Mod:1,"x1 = height(I) | x2 = width(I) | x3 = decrement(x1) | x4 = astuple(x3, x2) | x5 = crop(I, ORIGIN, x4) | x6 = hmirror(x5) | x7 = vconcat(I, x6) | x8 = double(x3) | x9 = astuple(x8, x2) | x10 = crop(x7, DOWN, x9) | O = vconcat(x7, x10)"
377,eb5a1d5d,8505,15.951590495170038,32,baseline,Cast:5;Sub:4;Slice:3;GatherElements:3;Equal:2;Concat:2;Conv:1;ArgMax:1;Not:1;And:1;Where:1;TopK:1;ReduceSum:1;Flatten:1;Mul:1;Min:1;Gather:1;Reshape:1;Pad:1,"x1 = compose(dmirror, dedupe) | x2 = x1(I) | x3 = x1(x2) | x4 = fork(remove, last, identity) | x5 = compose(hmirror, x4) | x6 = fork(vconcat, identity, x5) | x7 = x6(x3) | x8 = dmirror(x7) | O = x6(x8)"
378,ec883f72,4489,16.59061476121807,105,baseline,Sub:13;Cast:10;And:10;Where:9;Or:7;Equal:6;Less:6;Gather:5;Add:4;Greater:4;Not:4;Div:3;Mul:3;ReduceSum:2;Einsum:2;ArgMax:2;Max:2;Min:2;GreaterOrEqual:2;LessOrEqual:2;MaxPool:1;Reshape:1;Floor:1;Mod:1;Xor:1;Sqrt:1;Pad:1,"x1 = palette(I) | x2 = objects(I, T, T, T) | x3 = fork(multiply, height, width) | x4 = argmax(x2, x3) | x5 = color(x4) | x6 = remove(ZERO, x1) | x7 = other(x6, x5) | x8 = lrcorner(x4) | x9 = llcorner(x4) | x10 = urcorner(x4) | x11 = ulcorner(x4) | x12 = shoot(x8, UNITY) | x13 = shoot(x9, DOWN_LEFT) "
379,ecdecbb3,10794,15.713254296821411,102,baseline,Cast:14;Or:14;And:13;Where:10;Equal:7;Conv:6;Slice:6;Transpose:6;Greater:5;Sub:5;ReduceMax:3;Less:3;ArgMax:2;Add:2;Not:1;Gather:1;Xor:1;GreaterOrEqual:1;LessOrEqual:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = colorfilter(x1, TWO) | x3 = colorfilter(x1, EIGHT) | x4 = product(x2, x3) | x5 = fork(gravitate, first, last) | x6 = compose(crement, x5) | x7 = compose(center, first) | x8 = fork(add, x7, x6) | x9 = fork(connect, x7, x8) | x10 = apply(x9, x4) | x11 = lbind(greater, E"
380,ed36ccf7,99,20.40488014986541,1,baseline,Einsum:1,O = rot270(I)
381,ef135b50,2198,17.304696865036433,19,baseline,Cast:5;Where:4;Slice:3;MatMul:1;GreaterOrEqual:1;Mod:1;And:1;Concat:1;Pad:1;Equal:1,"x1 = ofcolor(I, TWO) | x2 = ofcolor(I, ZERO) | x3 = product(x1, x1) | x4 = power(first, TWO) | x5 = compose(first, last) | x6 = fork(equality, x4, x5) | x7 = sfilter(x3, x6) | x8 = fork(connect, first, last) | x9 = mapply(x8, x7) | x10 = intersection(x9, x2) | x11 = fill(I, NINE, x10) | x12 = trim(x"
382,f15e1fac,5783,16.33732214184178,75,baseline,Slice:28;Where:12;Cast:5;Squeeze:5;Pad:5;Unsqueeze:4;CumSum:4;Concat:4;Einsum:2;Equal:2;Gather:2;ReduceSum:1;Max:1,"x1 = ofcolor(I, TWO) | x2 = portrait(x1) | x3 = branch(x2, identity, dmirror) | x4 = x3(I) | x5 = leftmost(x1) | x6 = equality(x5, ZERO) | x7 = branch(x6, identity, vmirror) | x8 = x7(x4) | x9 = ofcolor(x8, EIGHT) | x10 = uppermost(x9) | x11 = equality(x10, ZERO) | x12 = branch(x11, identity, hmirro"
383,f1cefba8,7320,16.10163439304464,68,baseline,Cast:10;Gather:7;Where:6;Equal:5;Less:4;ArgMax:4;Sub:4;Add:4;Unsqueeze:4;Concat:3;ReduceMin:2;Slice:2;ReduceMax:2;TopK:2;Squeeze:2;GatherElements:2;Conv:1;ScatterND:1;Expand:1;ScatterElements:1;Pad:1,"x1 = palette(I) | x2 = objects(I, F, F, T) | x3 = ofcolor(I, ZERO) | x4 = first(x2) | x5 = ulcorner(x4) | x6 = subgrid(x4, I) | x7 = power(trim, TWO) | x8 = x7(x6) | x9 = asindices(x8) | x10 = shift(x9, TWO_BY_TWO) | x11 = fill(x6, ZERO, x10) | x12 = leastcolor(x11) | x13 = remove(ZERO, x1) | x14 = "
384,f25fbde4,2201,17.303332918473536,17,REPAIRED,ReduceMax:4;Cast:3;Slice:2;ArgMax:2;Add:2;Concat:1;Mul:1;Sub:1;ConvTranspose:1,"x1 = objects(I, T, T, T) | x2 = first(x1) | x3 = subgrid(x2, I) | O = upscale(x3, TWO)"
385,f25ffba3,30,21.598802618337846,1,baseline,Gather:1,"x1 = bottomhalf(I) | x2 = hmirror(x1) | O = vconcat(x2, x1)"
386,f2829549,211,19.648141866523932,7,baseline,Slice:2;Cast:2;And:1;Where:1;Pad:1,"x1 = lefthalf(I) | x2 = righthalf(I) | x3 = ofcolor(x1, ZERO) | x4 = ofcolor(x2, ZERO) | x5 = intersection(x3, x4) | x6 = shape(x1) | x7 = canvas(ZERO, x6) | O = fill(x7, THREE, x5)"
387,f35d900a,5059,16.471075885708064,75,baseline,Add:17;Sub:8;Reshape:8;Cast:7;Concat:6;Gather:5;ArgMax:5;Mul:4;Equal:3;ReduceSum:2;Unsqueeze:2;Div:2;Slice:1;Expand:1;GatherND:1;Where:1;ScatterElements:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = palette(I) | x3 = remove(ZERO, x2) | x4 = lbind(other, x3) | x5 = compose(x4, color) | x6 = fork(recolor, x5, outbox) | x7 = mapply(x6, x1) | x8 = mapply(toindices, x1) | x9 = box(x8) | x10 = difference(x9, x8) | x11 = lbind(argmin, x8) | x12 = rbind(compose, initset)"
388,f5b8619d,2496,17.17755527051068,44,baseline,Cast:8;Add:6;Less:5;Mul:3;ReduceSum:2;Slice:2;And:2;Reshape:2;Concat:2;Max:2;Sqrt:1;ArgMax:1;TopK:1;Div:1;ScatterElements:1;ReduceMax:1;Min:1;Where:1;Pad:1;Equal:1,"x1 = leastcolor(I) | x2 = ofcolor(I, x1) | x3 = mapply(vfrontier, x2) | x4 = underfill(I, EIGHT, x3) | x5 = hconcat(x4, x4) | O = vconcat(x5, x5)"
389,f76d97a5,140,20.058357577390694,11,baseline,ArgMax:2;Cast:2;Concat:2;ReduceMax:1;Add:1;Sub:1;ScatterElements:1;Gather:1,"x1 = palette(I) | x2 = first(x1) | x3 = last(x1) | x4 = switch(I, x2, x3) | O = replace(x4, FIVE, ZERO)"
390,f8a8fe49,3090,16.96407363010821,74,baseline,And:16;Slice:15;Cast:11;Where:11;Transpose:5;Equal:4;Or:4;Not:3;Pad:2;Xor:1;Concat:1;ScatterND:1,"x1 = objects(I, T, F, T) | x2 = replace(I, FIVE, ZERO) | x3 = colorfilter(x1, TWO) | x4 = first(x3) | x5 = portrait(x4) | x6 = branch(x5, hsplit, vsplit) | x7 = branch(x5, vmirror, hmirror) | x8 = ofcolor(I, TWO) | x9 = subgrid(x8, I) | x10 = trim(x9) | x11 = x7(x10) | x12 = x6(x11, TWO) | x13 = com"
391,f8b3ba0a,159,19.93109579777977,6,baseline,ReduceSum:1;TopK:1;Cast:1;Gather:1;Equal:1;Pad:1,"x1 = compress(I) | x2 = astuple(THREE, ONE) | x3 = palette(x1) | x4 = lbind(colorcount, x1) | x5 = compose(invert, x4) | x6 = order(x3, x5) | x7 = rbind(canvas, UNITY) | x8 = apply(x7, x6) | x9 = merge(x8) | O = crop(x9, DOWN, x2)"
392,f8c80d96,1951,17.42390265937689,37,baseline,Gather:5;Cast:4;Slice:3;Mod:3;Equal:3;Where:3;ArgMax:2;Einsum:2;Mul:2;Unsqueeze:2;ReduceSum:1;Add:1;ReduceMax:1;Sum:1;Div:1;Less:1;Max:1;Pad:1,"x1 = leastcolor(I) | x2 = objects(I, T, F, F) | x3 = colorfilter(x2, x1) | x4 = argmax(x3, size) | x5 = argmin(x2, width) | x6 = size(x5) | x7 = equality(x6, ONE) | x8 = branch(x7, identity, outbox) | x9 = chain(outbox, outbox, x8) | x10 = power(x9, TWO) | x11 = power(x9, THREE) | x12 = x9(x4) | x13"
393,f8ff0b80,144,20.030186700424,7,baseline,GlobalAveragePool:1;TopK:1;Cast:1;Slice:1;Transpose:1;Equal:1;Pad:1,"x1 = objects(I, T, T, T) | x2 = order(x1, size) | x3 = apply(color, x2) | x4 = rbind(canvas, UNITY) | x5 = apply(x4, x3) | x6 = merge(x5) | O = hmirror(x6)"
394,f9012d9b,2800,17.062625303836704,29,baseline,Cast:4;Where:4;Equal:3;ReduceMax:3;Gather:3;ReduceSum:2;ArgMax:2;Mod:2;Add:2;Slice:1;GatherND:1;Mul:1;Pad:1,"x1 = objects(I, T, F, F) | x2 = ofcolor(I, ZERO) | x3 = lbind(contained, ZERO) | x4 = chain(flip, x3, palette) | x5 = mfilter(x1, x4) | x6 = vsplit(I, TWO) | x7 = hsplit(I, TWO) | x8 = extract(x6, x4) | x9 = extract(x7, x4) | x10 = asobject(x8) | x11 = asobject(x9) | x12 = vperiod(x10) | x13 = hperi"
395,fafffa47,165,19.89405452609942,9,baseline,Slice:2;Cast:2;Or:1;Not:1;And:1;Concat:1;Pad:1,"x1 = tophalf(I) | x2 = bottomhalf(I) | x3 = shape(x2) | x4 = ofcolor(x1, ZERO) | x5 = ofcolor(x2, ZERO) | x6 = intersection(x4, x5) | x7 = canvas(ZERO, x3) | O = fill(x7, TWO, x6)"
396,fcb5c309,11685,15.633938753027042,59,baseline,Cast:8;Equal:6;Where:5;ReduceMax:5;Add:4;Slice:3;ReduceSum:3;ArgMax:3;Sub:3;Mul:3;Conv:2;QLinearConv:2;GreaterOrEqual:2;Less:2;Reshape:2;Concat:2;MaxPool:1;And:1;GridSample:1;Pad:1,"x1 = leastcolor(I) | x2 = objects(I, T, F, T) | x3 = colorfilter(x2, x1) | x4 = difference(x2, x3) | x5 = argmax(x4, size) | x6 = color(x5) | x7 = subgrid(x5, I) | O = replace(x7, x6, x1)"
397,fcc82909,2848,17.045627727468133,59,baseline,Reshape:10;Equal:6;Or:6;And:6;Add:5;Gather:4;Cast:3;Slice:3;Not:3;Min:2;Where:2;Conv:1;TopK:1;Greater:1;Div:1;Concat:1;Unsqueeze:1;Expand:1;ScatterElements:1;Pad:1,"x1 = objects(I, F, T, T) | x2 = rbind(add, DOWN) | x3 = compose(x2, llcorner) | x4 = compose(toivec, numcolors) | x5 = fork(add, lrcorner, x4) | x6 = fork(astuple, x3, x5) | x7 = compose(box, x6) | x8 = mapply(x7, x1) | O = fill(I, THREE, x8)"
398,feca6190,5608,16.368050571285572,17,baseline,Gather:3;Cast:2;Less:2;Add:2;Where:2;Slice:1;Squeeze:1;ReduceSum:1;Mul:1;Sub:1;Concat:1,"x1 = objects(I, T, F, T) | x2 = size(x1) | x3 = multiply(x2, FIVE) | x4 = astuple(x3, x3) | x5 = canvas(ZERO, x4) | x6 = rbind(shoot, UNITY) | x7 = compose(x6, center) | x8 = fork(recolor, color, x7) | x9 = mapply(x8, x1) | x10 = paint(x5, x9) | O = hmirror(x10)"
399,ff28f65a,91,20.48914049348315,5,baseline,GlobalAveragePool:1;Gather:1;Greater:1;Equal:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = size(x1) | x3 = double(x2) | x4 = interval(ZERO, x3, TWO) | x5 = apply(tojvec, x4) | x6 = astuple(ONE, NINE) | x7 = canvas(ZERO, x6) | x8 = fill(x7, ONE, x5) | x9 = hsplit(x8, THREE) | O = merge(x9)"
400,ff805c23,1866,17.468447618592712,21,baseline,Sub:4;Mod:2;Cast:2;Mul:2;Add:2;Unsqueeze:2;MaxPool:1;Gather:1;Reshape:1;Div:1;Concat:1;GridSample:1;Pad:1,"x1 = hmirror(I) | x2 = vmirror(I) | x3 = ofcolor(I, ONE) | x4 = subgrid(x3, x1) | x5 = subgrid(x3, x2) | x6 = palette(x4) | x7 = contained(ONE, x6) | O = branch(x7, x5, x4)"
